cruise,depth,temperature,conductivity,salinity,density,oxygen2
EX1903L1,3.049,27.3931,5.797964,36.7037,1023.8788,6.3632
EX1903L1,2.982,27.3931,5.797899,36.7032,1023.8791,6.3633
EX1903L1,2.997,27.3929,5.797891,36.7033,1023.8787,6.3632
EX1903L1,2.997,27.3929,5.797948,36.7038,1023.8777,6.3599
EX1903L1,2.93,27.3935,5.797988,36.7036,1023.8778,6.3631
EX1903L1,2.945,27.3942,5.798044,36.7034,1023.8789,6.3634
EX1903L1,2.982,27.3937,5.797899,36.7028,1023.8791,6.3632
EX1903L1,2.885,27.3933,5.798004,36.7039,1023.8776,6.3629
EX1903L1,2.885,27.3944,5.798472,36.7063,1023.8748,6.3628
EX1903L1,2.878,27.3982,5.798657,36.7046,1023.8781,6.3603
EX1903L1,2.834,27.3986,5.798318,36.702,1023.8801,6.3636
EX1903L1,2.834,27.3947,5.797835,36.7015,1023.8798,6.3635
EX1903L1,2.767,27.392,5.797722,36.7029,1023.8793,6.36
EX1903L1,2.834,27.3938,5.798069,36.7039,1023.8792,6.363
EX1903L1,2.767,27.3969,5.798302,36.7032,1023.878,6.3629
EX1903L1,2.722,27.3989,5.798254,36.7013,1023.8776,6.3631
EX1903L1,2.722,27.3962,5.797923,36.701,1023.8785,6.3634
EX1903L1,2.656,27.3933,5.797665,36.7015,1023.8784,6.3635
EX1903L1,2.67,27.3915,5.797416,36.7011,1023.8785,6.3635
EX1903L1,2.619,27.3893,5.797375,36.7026,1023.8784,6.3636
EX1903L1,2.604,27.3884,5.797246,36.7024,1023.8792,6.3637
EX1903L1,2.619,27.3869,5.797134,36.7027,1023.8799,6.3638
EX1903L1,2.552,27.3877,5.797343,36.7037,1023.8789,6.3637
EX1903L1,2.507,27.3882,5.797254,36.7026,1023.8788,6.3669
EX1903L1,2.507,27.3862,5.796868,36.7014,1023.879,6.3639
EX1903L1,2.441,27.3855,5.796916,36.7024,1023.8796,6.3671
EX1903L1,2.455,27.3868,5.797206,36.7034,1023.8787,6.367
EX1903L1,2.344,27.3888,5.797512,36.7041,1023.8762,6.367
EX1903L1,2.389,27.3902,5.797432,36.7024,1023.8764,6.3675
EX1903L1,2.344,27.3893,5.797359,36.7026,1023.877,6.3711
EX1903L1,2.233,27.3893,5.797351,36.7025,1023.8771,6.3716
EX1903L1,2.329,27.3895,5.797512,36.7035,1023.8781,6.3722
EX1903L1,2.233,27.3907,5.797617,36.7033,1023.878,6.3725
EX1903L1,2.218,27.3911,5.797617,36.703,1023.8781,6.3727
EX1903L1,2.181,27.3911,5.797665,36.7034,1023.8778,6.3729
EX1903L1,2.122,27.3911,5.797633,36.7032,1023.8775,6.3732
EX1903L1,2.114,27.3911,5.79756,36.7027,1023.8775,6.3735
EX1903L1,2.07,27.3899,5.797383,36.7024,1023.8771,6.3737
EX1903L1,2.07,27.3895,5.797593,36.7042,1023.8759,6.3736
EX1903L1,2.055,27.3931,5.798181,36.7055,1023.876,6.3737
EX1903L1,2.018,27.3971,5.798503,36.7047,1023.8748,6.3705
EX1903L1,2.018,27.3984,5.798503,36.7037,1023.8738,6.3736
EX1903L1,1.951,27.398,5.798503,36.704,1023.8742,6.3706
EX1903L1,1.959,27.3999,5.799455,36.7093,1023.8754,6.3707
EX1903L1,1.892,27.4107,5.800744,36.7101,1023.8749,6.3736
